numero,densidadb,densidadp,replica,tamano,circ,at,numCF,densidadp_porc,at_n,tamanoat2,numCFat2,circat2,densidadp_num
1,0.01,0,2,1041,0.889,843760,9,0,0.794514883,827.0899936,7.150633951,0.706323731,0
2,0.01,0,2,286,0.787,843760,9,0,0.794514883,227.2312567,7.150633951,0.625283213,0
3,0.01,0,2,869,0.843,843760,9,0,0.794514883,690.4334337,7.150633951,0.669776047,0
4,0.01,0,2,303,0.908,843760,9,0,0.794514883,240.7380097,7.150633951,0.721419514,0
5,0.01,0,2,482,0.852,843760,9,0,0.794514883,382.9561738,7.150633951,0.676926681,0
6,0.01,0,2,608,0.869,843760,9,0,0.794514883,483.0650491,7.150633951,0.690433434,0
7,0.01,0,2,564,0.88,843760,9,0,0.794514883,448.1063942,7.150633951,0.699173097,0
8,0.01,0,2,610,0.868,843760,9,0,0.794514883,484.6540789,7.150633951,0.689638919,0
9,0.01,0,2,844,0.816,843760,9,0,0.794514883,670.5705616,7.150633951,0.648324145,0
1,0.01,0,3,707,0.899,787875,11,0,0.741891549,524.5173255,8.160807044,0.666960503,0
2,0.01,0,3,648,0.888,787875,11,0,0.741891549,480.7457241,8.160807044,0.658799696,0
3,0.01,0,3,789,0.861,787875,11,0,0.741891549,585.3524325,8.160807044,0.638768624,0
4,0.01,0,3,549,0.85,787875,11,0,0.741891549,407.2984607,8.160807044,0.630607817,0
5,0.01,0,3,880,0.828,787875,11,0,0.741891549,652.8645635,8.160807044,0.614286203,0
6,0.01,0,3,398,0.903,787875,11,0,0.741891549,295.2728367,8.160807044,0.669928069,0
7,0.01,0,3,368,0.917,787875,11,0,0.741891549,273.0160902,8.160807044,0.680314551,0
8,0.01,0,3,352,0.907,787875,11,0,0.741891549,261.1458254,8.160807044,0.672895635,0
9,0.01,0,3,627,0.881,787875,11,0,0.741891549,465.1660015,8.160807044,0.653606455,0
10,0.01,0,3,952,0.882,787875,11,0,0.741891549,706.2807551,8.160807044,0.654348347,0
11,0.01,0,3,742,0.872,787875,11,0,0.741891549,550.4835297,8.160807044,0.646929431,0
1,0.01,0,4,894,0.837,802517,11,0,0.755678985,675.5770129,8.312468839,0.632503311,0
2,0.01,0,4,803,0.875,802517,11,0,0.755678985,606.8102253,8.312468839,0.661219112,0
3,0.01,0,4,944,0.882,802517,11,0,0.755678985,713.3609622,8.312468839,0.666508865,0
4,0.01,0,4,720,0.905,802517,11,0,0.755678985,544.0888695,8.312468839,0.683889482,0
5,0.01,0,4,607,0.864,802517,11,0,0.755678985,458.6971441,8.312468839,0.652906643,0
6,0.01,0,4,619,0.885,802517,11,0,0.755678985,467.7652919,8.312468839,0.668775902,0
7,0.01,0,4,817,0.752,802517,11,0,0.755678985,617.389731,8.312468839,0.568270597,0
8,0.01,0,4,689,0.866,802517,11,0,0.755678985,520.6628209,8.312468839,0.654418001,0
9,0.01,0,4,617,0.914,802517,11,0,0.755678985,466.253934,8.312468839,0.690690593,0
10,0.01,0,4,770,0.817,802517,11,0,0.755678985,581.8728187,8.312468839,0.617389731,0
11,0.01,0,4,426,0.903,802517,11,0,0.755678985,321.9192478,8.312468839,0.682378124,0
1,0.01,0,5,704,0.689,900885,7,0,0.848305846,597.2073157,5.938140923,0.584482728,0
2,0.01,0,5,662,0.836,900885,7,0,0.848305846,561.5784702,5.938140923,0.709183687,0
3,0.01,0,5,718,0.782,900885,7,0,0.848305846,609.0835975,5.938140923,0.663375172,0
4,0.01,0,5,929,0.775,900885,7,0,0.848305846,788.0761311,5.938140923,0.657437031,0
5,0.01,0,5,629,0.873,900885,7,0,0.848305846,533.5843772,5.938140923,0.740571004,0
6,0.01,0,5,769,0.753,900885,7,0,0.848305846,652.3471957,5.938140923,0.638774302,0
7,0.01,0,5,698,0.77,900885,7,0,0.848305846,592.1174806,5.938140923,0.653195502,0
1,0.02,0,1,566,0.883,824140,18,0,0.776039983,439.2386304,13.96871969,0.685243305,0
2,0.02,0,1,390,0.887,824140,18,0,0.776039983,302.6555934,13.96871969,0.688347465,0
3,0.02,0,1,629,0.893,824140,18,0,0.776039983,488.1291493,13.96871969,0.693003705,0
4,0.02,0,1,592,0.884,824140,18,0,0.776039983,459.4156699,13.96871969,0.686019345,0
5,0.02,0,1,985,0.903,824140,18,0,0.776039983,764.3993832,13.96871969,0.700764105,0
6,0.02,0,1,677,0.922,824140,18,0,0.776039983,525.3790685,13.96871969,0.715508864,0
7,0.02,0,1,465,0.93,824140,18,0,0.776039983,360.8585921,13.96871969,0.721717184,0
8,0.02,0,1,384,0.879,824140,18,0,0.776039983,297.9993535,13.96871969,0.682139145,0
9,0.02,0,1,482,0.892,824140,18,0,0.776039983,374.0512718,13.96871969,0.692227665,0
10,0.02,0,1,418,0.934,824140,18,0,0.776039983,324.3847129,13.96871969,0.724821344,0
11,0.02,0,1,576,0.828,824140,18,0,0.776039983,446.9990302,13.96871969,0.642561106,0
12,0.02,0,1,840,0.911,824140,18,0,0.776039983,651.8735857,13.96871969,0.706972424,0
13,0.02,0,1,373,0.952,824140,18,0,0.776039983,289.4629136,13.96871969,0.738790064,0
14,0.02,0,1,300,0.939,824140,18,0,0.776039983,232.8119949,13.96871969,0.728701544,0
15,0.02,0,1,348,0.888,824140,18,0,0.776039983,270.0619141,13.96871969,0.689123505,0
16,0.02,0,1,530,0.894,824140,18,0,0.776039983,411.301191,13.96871969,0.693779745,0
17,0.02,0,1,641,0.877,824140,18,0,0.776039983,497.4416291,13.96871969,0.680587065,0
18,0.02,0,1,579,0.892,824140,18,0,0.776039983,449.3271501,13.96871969,0.692227665,0
1,0.02,0,2,549,0.889,918668,10,0,0.865050961,474.9129776,8.650509611,0.769030304,0
2,0.02,0,2,648,0.884,918668,10,0,0.865050961,560.5530228,8.650509611,0.76470505,0
3,0.02,0,2,440,0.857,918668,10,0,0.865050961,380.6224229,8.650509611,0.741348674,0
4,0.02,0,2,1280,0.872,918668,10,0,0.865050961,1107.26523,8.650509611,0.754324438,0
5,0.02,0,2,500,0.952,918668,10,0,0.865050961,432.5254805,8.650509611,0.823528515,0
6,0.02,0,2,1096,0.835,918668,10,0,0.865050961,948.0958533,8.650509611,0.722317553,0
7,0.02,0,2,515,0.783,918668,10,0,0.865050961,445.501245,8.650509611,0.677334903,0
8,0.02,0,2,923,0.686,918668,10,0,0.865050961,798.4420371,8.650509611,0.593424959,0
